EmpID,DaysPresent,OvertimeDays
EMP-101,22,3
EMP-102,17,0
EMP-103,21,1
EMP-104,16,0
EMP-105,22,4
EMP-106,20,0
EMP-107,18,2
EMP-108,22,1
EMP-109,21,0
EMP-110,15,0
EMP-111,22,2
EMP-112,19,0
EMP-113,20,1
EMP-114,22,3
EMP-115,14,0
EMP-116,21,0
EMP-117,22,1
EMP-118,18,1
EMP-119,22,2
EMP-120,19,0
EMP-121,21,1
EMP-122,22,0
EMP-123,16,0
EMP-124,20,2
EMP-125,22,4
EMP-126,17,1
EMP-127,21,0
EMP-128,15,0
EMP-129,22,1
EMP-130,22,3
EMP-131,19,0
EMP-132,21,2
EMP-133,22,1
EMP-134,18,0
EMP-135,22,3
EMP-136,16,0
EMP-137,22,2
EMP-138,20,0
EMP-139,17,0
EMP-140,21,1
EMP-141,22,2
EMP-142,19,1
EMP-143,22,4
EMP-144,16,0
EMP-145,13,0
EMP-146,21,1
EMP-147,18,0
EMP-148,22,3
EMP-149,20,0
EMP-150,22,2
EMP-151,22,4
EMP-152,19,1
EMP-153,21,0
EMP-154,22,2
EMP-155,16,0
EMP-156,20,1
EMP-157,22,1
EMP-158,21,2
EMP-159,15,0
EMP-160,22,3
EMP-161,18,0
EMP-162,22,1
EMP-163,17,1
EMP-164,21,0
EMP-165,22,2
EMP-166,20,0
EMP-167,16,0
EMP-168,22,3
EMP-169,22,4
EMP-170,21,1
EMP-171,19,0
EMP-172,22,3
EMP-173,20,2
EMP-174,21,1
EMP-175,22,2
EMP-176,21,0
EMP-177,22,4
EMP-178,17,0
EMP-179,20,1
EMP-180,18,0
EMP-181,21,0
EMP-182,22,2
EMP-183,16,0
EMP-184,20,0
EMP-185,22,3
EMP-186,22,2
EMP-187,21,1
EMP-188,22,4
EMP-189,22,1
EMP-190,20,2
EMP-191,19,0
EMP-192,22,1
EMP-193,17,0
EMP-194,22,3
EMP-195,21,0
EMP-196,18,1
EMP-197,20,0
EMP-198,22,4
EMP-199,22,2
EMP-200,22,3
EMP-201,19,1
EMP-202,21,0
EMP-203,22,1
EMP-204,20,0
EMP-205,15,0
EMP-206,18,0
EMP-207,22,3
EMP-208,21,2
EMP-209,19,0
EMP-210,20,1
EMP-211,21,0
EMP-212,22,4
EMP-213,22,3
EMP-214,21,1
EMP-215,22,2
EMP-216,16,0
EMP-217,17,0
EMP-218,20,1
EMP-219,21,0
EMP-220,22,1
EMP-221,19,1
EMP-222,22,3
EMP-223,21,2
EMP-224,20,0
EMP-225,18,0
EMP-226,22,1
EMP-227,21,0
EMP-228,19,1
EMP-229,16,0
EMP-230,20,0
EMP-231,22,1
EMP-232,17,0
EMP-233,21,1
EMP-234,22,2
EMP-235,14,0
EMP-236,20,0
EMP-237,21,1
EMP-238,19,0
EMP-239,22,1
EMP-240,22,4
EMP-241,15,0
EMP-242,20,0
EMP-243,21,1
EMP-244,22,2
EMP-245,22,3
EMP-246,18,0
EMP-247,20,1
EMP-248,16,0
EMP-249,19,0
EMP-250,21,1
